Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
Regular,0.131167478,Fruits and Vegetables,45.5744,OUT049,Medium,Tier 1,Supermarket Type1,452.744
Low Fat,0.159379439,Frozen Foods,42.7454,OUT049,Medium,Tier 1,Supermarket Type1,293.6178
low fat,0.232534812,Household,190.1872,OUT049,Medium,Tier 1,Supermarket Type1,5105.3544
Low Fat,0.225843005,Hard Drinks,172.4396,OUT049,Medium,Tier 1,Supermarket Type1,1569.9564
Low Fat,0.152144165,Snack Foods,112.7176,OUT049,Medium,Tier 1,Supermarket Type1,1717.764
Low Fat,0.143577878,Fruits and Vegetables,188.224,OUT049,Medium,Tier 1,Supermarket Type1,1304.968
Low Fat,0.170400032,Household,41.9796,OUT049,Medium,Tier 1,Supermarket Type1,784.3124
Low Fat,0.175097449,Snack Foods,119.3098,OUT049,Medium,Tier 1,Supermarket Type1,1205.098
Regular,0.220543713,Baking Goods,197.311,OUT049,Medium,Tier 1,Supermarket Type1,3338.987
Regular,0.158644887,Breads,224.9088,OUT049,Medium,Tier 1,Supermarket Type1,2684.5056
Low Fat,0.130101431,Soft Drinks,151.7682,OUT049,Medium,Tier 1,Supermarket Type1,2439.4912
Low Fat,0.190805788,Fruits and Vegetables,126.7678,OUT049,Medium,Tier 1,Supermarket Type1,1907.517
LF,0.149556408,Fruits and Vegetables,47.7692,OUT049,Medium,Tier 1,Supermarket Type1,640.4996
Low Fat,0.28593775,Others,243.0196,OUT049,Medium,Tier 1,Supermarket Type1,3615.294
Regular,0.121051091,Frozen Foods,179.866,OUT049,Medium,Tier 1,Supermarket Type1,2696.49
Low Fat,0.103,Health and Hygiene,47.8034,OUT049,Medium,Tier 1,Supermarket Type1,437.4306
reg,0.103,Fruits and Vegetables,256.633,OUT049,Medium,Tier 1,Supermarket Type1,2050.664
Regular,0.166429818,Dairy,179.4318,OUT049,Medium,Tier 1,Supermarket Type1,2345.6134
Low Fat,0.215097433,Frozen Foods,105.5622,OUT049,Medium,Tier 1,Supermarket Type1,1905.5196
Low Fat,0.125831052,Fruits and Vegetables,160.292,OUT049,Medium,Tier 1,Supermarket Type1,4793.76
Regular,0.179878416,Snack Foods,113.9518,OUT049,Medium,Tier 1,Supermarket Type1,1138.518
Regular,0.196801337,Snack Foods,126.0704,OUT049,Medium,Tier 1,Supermarket Type1,1251.704
Low Fat,0.221858866,Household,263.291,OUT049,Medium,Tier 1,Supermarket Type1,3418.883
Regular,0.149881328,Canned,141.3838,OUT049,Medium,Tier 1,Supermarket Type1,1685.8056
Regular,0.178625152,Breads,145.7444,OUT049,Medium,Tier 1,Supermarket Type1,3193.1768
Low Fat,0.202804623,Snack Foods,113.7544,OUT049,Medium,Tier 1,Supermarket Type1,3243.7776
Low Fat,0.196441604,Snack Foods,119.1124,OUT049,Medium,Tier 1,Supermarket Type1,3673.8844
Low Fat,0.118484763,Frozen Foods,211.9928,OUT049,Medium,Tier 1,Supermarket Type1,631.1784
Regular,0.122965179,Frozen Foods,130.531,OUT049,Medium,Tier 1,Supermarket Type1,908.817
Regular,0.186643716,Canned,196.0426,OUT049,Medium,Tier 1,Supermarket Type1,2570.6538
Low Fat,0.137360687,Household,215.7218,OUT049,Medium,Tier 1,Supermarket Type1,4274.436
Regular,0.240580452,Meat,182.8608,OUT049,Medium,Tier 1,Supermarket Type1,4042.7376
Low Fat,0.111960445,Meat,119.1756,OUT049,Medium,Tier 1,Supermarket Type1,1696.4584
Low Fat,0.112791467,Others,213.256,OUT049,Medium,Tier 1,Supermarket Type1,4687.232
Regular,0.133198228,Baking Goods,98.2384,OUT049,Medium,Tier 1,Supermarket Type1,2167.8448
Regular,0.127442501,Fruits and Vegetables,196.411,OUT049,Medium,Tier 1,Supermarket Type1,2749.754
Regular,0.158805027,Baking Goods,53.0666,OUT049,Medium,Tier 1,Supermarket Type1,512.666
Regular,0.168735977,Fruits and Vegetables,189.6214,OUT049,Medium,Tier 1,Supermarket Type1,2826.321
Low Fat,0.179089711,Snack Foods,212.9218,OUT049,Medium,Tier 1,Supermarket Type1,3846.9924
Regular,0.123908608,Snack Foods,63.5194,OUT049,Medium,Tier 1,Supermarket Type1,557.2746
Low Fat,0.135819637,Household,38.9822,OUT049,Medium,Tier 1,Supermarket Type1,982.055
Regular,0.199249842,Meat,134.4942,OUT049,Medium,Tier 1,Supermarket Type1,2119.9072
Low Fat,0.157318517,Snack Foods,140.9154,OUT049,Medium,Tier 1,Supermarket Type1,6381.693
Low Fat,0.103,Health and Hygiene,42.877,OUT049,Medium,Tier 1,Supermarket Type1,649.155
Low Fat,0.138711426,Health and Hygiene,93.612,OUT049,Medium,Tier 1,Supermarket Type1,1584.604
Low Fat,0.199536082,Breads,162.8552,OUT049,Medium,Tier 1,Supermarket Type1,3574.0144
Low Fat,0.206138922,Baking Goods,141.747,OUT049,Medium,Tier 1,Supermarket Type1,3006.087
Low Fat,0.109708517,Household,164.6184,OUT049,Medium,Tier 1,Supermarket Type1,2972.1312
Low Fat,0.145687151,Frozen Foods,195.911,OUT049,Medium,Tier 1,Supermarket Type1,2946.165
Low Fat,0.129651184,Snack Foods,86.6198,OUT049,Medium,Tier 1,Supermarket Type1,1657.1762
Regular,0.151218142,Baking Goods,42.2138,OUT049,Medium,Tier 1,Supermarket Type1,690.4346
Regular,0.137043503,Snack Foods,168.7158,OUT049,Medium,Tier 1,Supermarket Type1,2673.8528
Low Fat,0.156372768,Canned,149.5734,OUT049,Medium,Tier 1,Supermarket Type1,2524.0478
Low Fat,0.123609218,Soft Drinks,155.1656,OUT049,Medium,Tier 1,Supermarket Type1,4016.1056
Low Fat,0.179975118,Snack Foods,161.8236,OUT049,Medium,Tier 1,Supermarket Type1,1611.236
Low Fat,0.131642712,Household,149.0708,OUT049,Medium,Tier 1,Supermarket Type1,1203.7664
Low Fat,0.140457098,Canned,83.4224,OUT049,Medium,Tier 1,Supermarket Type1,1448.7808
Regular,0.148835395,Snack Foods,168.2132,OUT049,Medium,Tier 1,Supermarket Type1,2367.5848
Low Fat,0.1606269,Dairy,83.3566,OUT049,Medium,Tier 1,Supermarket Type1,1860.2452
Low Fat,0.192608321,Dairy,262.1594,OUT049,Medium,Tier 1,Supermarket Type1,3139.9128
Low Fat,0.144355366,Household,88.7514,OUT049,Medium,Tier 1,Supermarket Type1,2656.542
Low Fat,0.130748176,Soft Drinks,86.5198,OUT049,Medium,Tier 1,Supermarket Type1,1395.5168
Low Fat,0.189916126,Hard Drinks,153.3682,OUT049,Medium,Tier 1,Supermarket Type1,1219.7456
Low Fat,0.244108156,Breads,128.2994,OUT049,Medium,Tier 1,Supermarket Type1,2698.4874
Low Fat,0.144355366,Starchy Foods,182.0634,OUT049,Medium,Tier 1,Supermarket Type1,4544.085
Low Fat,0.1373603,Fruits and Vegetables,253.4356,OUT049,Medium,Tier 1,Supermarket Type1,2797.6916
Regular,0.203922503,Fruits and Vegetables,199.0768,OUT049,Medium,Tier 1,Supermarket Type1,2759.0752
Low Fat,0.128742955,Household,197.1084,OUT049,Medium,Tier 1,Supermarket Type1,4761.8016
LF,0.144803291,Frozen Foods,110.3912,OUT049,Medium,Tier 1,Supermarket Type1,3275.736
Low Fat,0.123579897,Fruits and Vegetables,52.1324,OUT049,Medium,Tier 1,Supermarket Type1,934.7832
Regular,0.128912378,Fruits and Vegetables,146.8418,OUT049,Medium,Tier 1,Supermarket Type1,1765.7016
Low Fat,0.218346634,Soft Drinks,200.2084,OUT049,Medium,Tier 1,Supermarket Type1,4563.3932
Low Fat,0.148378573,Dairy,42.4138,OUT049,Medium,Tier 1,Supermarket Type1,243.6828
Regular,0.20661083,Fruits and Vegetables,228.372,OUT049,Medium,Tier 1,Supermarket Type1,905.488
Low Fat,0.227645538,Frozen Foods,117.2124,OUT049,Medium,Tier 1,Supermarket Type1,2133.2232
Regular,0.186059634,Frozen Foods,35.7558,OUT049,Medium,Tier 1,Supermarket Type1,611.2044
Low Fat,0.124010687,Health and Hygiene,131.3942,OUT049,Medium,Tier 1,Supermarket Type1,927.4594
Low Fat,0.176524776,Seafood,34.8216,OUT049,Medium,Tier 1,Supermarket Type1,207.7296
Low Fat,0.134331581,Fruits and Vegetables,111.1228,OUT049,Medium,Tier 1,Supermarket Type1,663.1368
Low Fat,0.144429246,Fruits and Vegetables,117.2466,OUT049,Medium,Tier 1,Supermarket Type1,2239.0854
Low Fat,0.159005781,Baking Goods,99.2016,OUT049,Medium,Tier 1,Supermarket Type1,1518.024
Regular,0.1413808,Baking Goods,62.351,OUT049,Medium,Tier 1,Supermarket Type1,885.514
Low Fat,0.149631836,Health and Hygiene,98.4384,OUT049,Medium,Tier 1,Supermarket Type1,1576.6144
Regular,0.179839735,Snack Foods,34.9558,OUT049,Medium,Tier 1,Supermarket Type1,373.5138
Regular,0.207183308,Baking Goods,166.15,OUT049,Medium,Tier 1,Supermarket Type1,3828.35
Regular,0.164272194,Meat,125.6388,OUT049,Medium,Tier 1,Supermarket Type1,1733.7432
Low Fat,0.136271818,Fruits and Vegetables,196.5768,OUT049,Medium,Tier 1,Supermarket Type1,5715.2272
Regular,0.255364317,Fruits and Vegetables,254.0382,OUT049,Medium,Tier 1,Supermarket Type1,1261.691
Low Fat,0.264740582,Fruits and Vegetables,38.419,OUT049,Medium,Tier 1,Supermarket Type1,805.618
Low Fat,0.103,Household,197.111,OUT049,Medium,Tier 1,Supermarket Type1,3731.809
Low Fat,0.13348292,Dairy,257.2672,OUT049,Medium,Tier 1,Supermarket Type1,3068.0064
reg,0.138627489,Baking Goods,146.6444,OUT049,Medium,Tier 1,Supermarket Type1,870.8664
Regular,0.253248468,Frozen Foods,155.2288,OUT049,Medium,Tier 1,Supermarket Type1,1257.0304
Regular,0.185394321,Baking Goods,48.5034,OUT049,Medium,Tier 1,Supermarket Type1,243.017
Low Fat,0.244475625,Snack Foods,155.0998,OUT049,Medium,Tier 1,Supermarket Type1,1230.3984
Low Fat,0.290850233,Canned,146.5418,OUT049,Medium,Tier 1,Supermarket Type1,2501.4106
reg,0.165321222,Baking Goods,87.2514,OUT049,Medium,Tier 1,Supermarket Type1,265.6542
Regular,0.161207114,Snack Foods,59.1562,OUT049,Medium,Tier 1,Supermarket Type1,1185.124
Low Fat,0.121052019,Health and Hygiene,96.6094,OUT049,Medium,Tier 1,Supermarket Type1,856.8846
Low Fat,0.192917769,Health and Hygiene,160.3604,OUT049,Medium,Tier 1,Supermarket Type1,2852.2872
Regular,0.177035365,Dairy,256.1356,OUT049,Medium,Tier 1,Supermarket Type1,4578.0408
Low Fat,0.103,Dairy,263.7884,OUT049,Medium,Tier 1,Supermarket Type1,3709.8376
Low Fat,0.18809812,Snack Foods,108.2912,OUT049,Medium,Tier 1,Supermarket Type1,2293.0152
Low Fat,0.122901356,Household,157.5972,OUT049,Medium,Tier 1,Supermarket Type1,3427.5384
Low Fat,0.133751366,Hard Drinks,42.577,OUT049,Medium,Tier 1,Supermarket Type1,952.094
Low Fat,0.149342889,Baking Goods,97.3384,OUT049,Medium,Tier 1,Supermarket Type1,886.8456
Low Fat,0.149707264,Meat,152.6682,OUT049,Medium,Tier 1,Supermarket Type1,1829.6184
Low Fat,0.114838464,Household,155.134,OUT049,Medium,Tier 1,Supermarket Type1,2603.278
Low Fat,0.137457776,Hard Drinks,113.3834,OUT049,Medium,Tier 1,Supermarket Type1,2073.3012
Regular,0.147091657,Baking Goods,182.995,OUT049,Medium,Tier 1,Supermarket Type1,3844.995
Regular,0.232705008,Snack Foods,141.8838,OUT049,Medium,Tier 1,Supermarket Type1,1966.7732
Low Fat,0.118700603,Others,141.147,OUT049,Medium,Tier 1,Supermarket Type1,2719.793
Low Fat,0.155637056,Frozen Foods,88.583,OUT049,Medium,Tier 1,Supermarket Type1,808.947
Low Fat,0.136997473,Others,129.9284,OUT049,Medium,Tier 1,Supermarket Type1,1845.5976
Regular,0.274093639,Dairy,155.663,OUT049,Medium,Tier 1,Supermarket Type1,2034.019
Regular,0.125093019,Meat,195.9452,OUT049,Medium,Tier 1,Supermarket Type1,2348.9424
Regular,0.147321422,Meat,103.899,OUT049,Medium,Tier 1,Supermarket Type1,2889.572
Regular,0.237919202,Snack Foods,46.9402,OUT049,Medium,Tier 1,Supermarket Type1,780.9834
Regular,0.262968994,Fruits and Vegetables,147.6102,OUT049,Medium,Tier 1,Supermarket Type1,1603.9122
Low Fat,0.134143591,Snack Foods,183.9582,OUT049,Medium,Tier 1,Supermarket Type1,5386.9878
Low Fat,0.202290166,Household,214.0902,OUT049,Medium,Tier 1,Supermarket Type1,1486.7314
Regular,0.225494876,Fruits and Vegetables,100.1016,OUT049,Medium,Tier 1,Supermarket Type1,1416.8224
Low Fat,0.125980361,Fruits and Vegetables,117.7492,OUT049,Medium,Tier 1,Supermarket Type1,1274.3412
Low Fat,0.111554102,Baking Goods,79.3618,OUT049,Medium,Tier 1,Supermarket Type1,805.618
LF,0.186929569,Meat,182.4292,OUT049,Medium,Tier 1,Supermarket Type1,4925.5884
Low Fat,0.225684413,Canned,132.2942,OUT049,Medium,Tier 1,Supermarket Type1,2252.4014
Low Fat,0.19988421,Fruits and Vegetables,233.5958,OUT049,Medium,Tier 1,Supermarket Type1,2336.958
Regular,0.162894378,Fruits and Vegetables,125.9678,OUT049,Medium,Tier 1,Supermarket Type1,2797.6916
Low Fat,0.115627478,Snack Foods,140.818,OUT049,Medium,Tier 1,Supermarket Type1,3495.45
reg,0.12802991,Fruits and Vegetables,218.4508,OUT049,Medium,Tier 1,Supermarket Type1,2821.6604
Low Fat,0.143023967,Others,85.5908,OUT049,Medium,Tier 1,Supermarket Type1,1006.6896
Regular,0.157637635,Meat,93.3094,OUT049,Medium,Tier 1,Supermarket Type1,3046.7008
Low Fat,0.140953762,Health and Hygiene,38.448,OUT049,Medium,Tier 1,Supermarket Type1,1198.44
Low Fat,0.12240856,Soft Drinks,156.7972,OUT049,Medium,Tier 1,Supermarket Type1,3739.1328
Low Fat,0.231289285,Snack Foods,104.9622,OUT049,Medium,Tier 1,Supermarket Type1,1164.4842
Regular,0.149680961,Fruits and Vegetables,121.9388,OUT049,Medium,Tier 1,Supermarket Type1,3962.8416
Low Fat,0.103,Household,142.147,OUT049,Medium,Tier 1,Supermarket Type1,1717.764
Regular,0.175990979,Snack Foods,121.6098,OUT049,Medium,Tier 1,Supermarket Type1,1566.6274
Low Fat,0.108243282,Dairy,266.1884,OUT049,Medium,Tier 1,Supermarket Type1,3179.8608
Low Fat,0.156455158,Soft Drinks,43.677,OUT049,Medium,Tier 1,Supermarket Type1,562.601
Regular,0.231235131,Snack Foods,169.2816,OUT049,Medium,Tier 1,Supermarket Type1,1174.4712
LF,0.103,Household,53.2614,OUT049,Medium,Tier 1,Supermarket Type1,552.614
Low Fat,0.129912667,Frozen Foods,261.291,OUT049,Medium,Tier 1,Supermarket Type1,3418.883
Regular,0.14463619,Frozen Foods,47.3376,OUT049,Medium,Tier 1,Supermarket Type1,1150.5024
Low Fat,0.126988387,Household,104.5964,OUT049,Medium,Tier 1,Supermarket Type1,1262.3568
Low Fat,0.120814518,Frozen Foods,159.8578,OUT049,Medium,Tier 1,Supermarket Type1,2246.4092
Low Fat,0.185367244,Soft Drinks,187.753,OUT049,Medium,Tier 1,Supermarket Type1,1518.024
Regular,0.133311951,Breads,247.4092,OUT049,Medium,Tier 1,Supermarket Type1,6972.2576
Low Fat,0.11832563,Snack Foods,153.434,OUT049,Medium,Tier 1,Supermarket Type1,459.402
Low Fat,0.27171476,Frozen Foods,47.306,OUT049,Medium,Tier 1,Supermarket Type1,1071.938
Low Fat,0.129830586,Snack Foods,108.057,OUT049,Medium,Tier 1,Supermarket Type1,2087.283
Regular,0.130386122,Snack Foods,259.2304,OUT049,Medium,Tier 1,Supermarket Type1,4649.9472
Low Fat,0.15916476,Seafood,51.8982,OUT049,Medium,Tier 1,Supermarket Type1,473.3838
Regular,0.215840108,Soft Drinks,122.0388,OUT049,Medium,Tier 1,Supermarket Type1,1238.388
Low Fat,0.140639672,Fruits and Vegetables,175.6054,OUT049,Medium,Tier 1,Supermarket Type1,1050.6324
Regular,0.210223632,Fruits and Vegetables,144.8786,OUT049,Medium,Tier 1,Supermarket Type1,3323.0078
LF,0.234708682,Baking Goods,152.3024,OUT049,Medium,Tier 1,Supermarket Type1,1518.024
Low Fat,0.157238448,Hard Drinks,75.4012,OUT049,Medium,Tier 1,Supermarket Type1,986.7156
Regular,0.103,Snack Foods,193.482,OUT049,Medium,Tier 1,Supermarket Type1,2510.066
Low Fat,0.246351652,Frozen Foods,62.0878,OUT049,Medium,Tier 1,Supermarket Type1,302.939
Low Fat,0.137940979,Canned,177.3344,OUT049,Medium,Tier 1,Supermarket Type1,1605.9096
Regular,0.133975716,Dairy,253.9672,OUT049,Medium,Tier 1,Supermarket Type1,3068.0064
Regular,0.142101813,Baking Goods,208.8296,OUT049,Medium,Tier 1,Supermarket Type1,5400.9696
Low Fat,0.140555348,Baking Goods,49.6034,OUT049,Medium,Tier 1,Supermarket Type1,972.068
Regular,0.133992735,Fruits and Vegetables,124.3072,OUT049,Medium,Tier 1,Supermarket Type1,2695.1584
Low Fat,0.175511335,Breakfast,177.437,OUT049,Medium,Tier 1,Supermarket Type1,3528.74
Low Fat,0.128867353,Canned,264.6226,OUT049,Medium,Tier 1,Supermarket Type1,4757.8068
Regular,0.144346469,Snack Foods,103.1332,OUT049,Medium,Tier 1,Supermarket Type1,820.2656
Low Fat,0.211879177,Snack Foods,161.5578,OUT049,Medium,Tier 1,Supermarket Type1,320.9156
Regular,0.123601791,Dairy,86.054,OUT049,Medium,Tier 1,Supermarket Type1,1038.648
Regular,0.103,Meat,235.6248,OUT049,Medium,Tier 1,Supermarket Type1,1896.1984
Low Fat,0.126876985,Dairy,97.4042,OUT049,Medium,Tier 1,Supermarket Type1,2281.6966
Low Fat,0.118328106,Hard Drinks,107.5938,OUT049,Medium,Tier 1,Supermarket Type1,1822.2946
Low Fat,0.161181585,Meat,154.4314,OUT049,Medium,Tier 1,Supermarket Type1,2326.971
Low Fat,0.149159928,Health and Hygiene,152.3682,OUT049,Medium,Tier 1,Supermarket Type1,1677.1502
Low Fat,0.141014104,Frozen Foods,62.351,OUT049,Medium,Tier 1,Supermarket Type1,822.263
Low Fat,0.129882496,Meat,126.302,OUT049,Medium,Tier 1,Supermarket Type1,3036.048
Regular,0.139083537,Frozen Foods,175.4712,OUT049,Medium,Tier 1,Supermarket Type1,2988.1104
Regular,0.108539114,Fruits and Vegetables,167.879,OUT049,Medium,Tier 1,Supermarket Type1,4074.696
low fat,0.132054046,Household,144.6786,OUT049,Medium,Tier 1,Supermarket Type1,2889.572
Regular,0.110551607,Dairy,145.8102,OUT049,Medium,Tier 1,Supermarket Type1,1895.5326
Regular,0.150503318,Frozen Foods,244.6144,OUT049,Medium,Tier 1,Supermarket Type1,3185.1872
Low Fat,0.190604647,Breads,196.9794,OUT049,Medium,Tier 1,Supermarket Type1,1560.6352
Low Fat,0.131461453,Dairy,152.234,OUT049,Medium,Tier 1,Supermarket Type1,5053.422
Low Fat,0.141578846,Dairy,56.1272,OUT049,Medium,Tier 1,Supermarket Type1,671.1264
Regular,0.169279832,Frozen Foods,147.876,OUT049,Medium,Tier 1,Supermarket Type1,4540.756
Low Fat,0.150791878,Household,180.766,OUT049,Medium,Tier 1,Supermarket Type1,5033.448
Low Fat,0.124757269,Breads,165.0184,OUT049,Medium,Tier 1,Supermarket Type1,3302.368
LF,0.116658248,Frozen Foods,256.3304,OUT049,Medium,Tier 1,Supermarket Type1,6199.9296
Low Fat,0.12250565,Others,163.921,OUT049,Medium,Tier 1,Supermarket Type1,2446.815
Regular,0.120887238,Snack Foods,79.496,OUT049,Medium,Tier 1,Supermarket Type1,1438.128
Low Fat,0.177460855,Snack Foods,253.6724,OUT049,Medium,Tier 1,Supermarket Type1,5033.448
Regular,0.146968652,Starchy Foods,57.6904,OUT049,Medium,Tier 1,Supermarket Type1,585.904
LF,0.126179181,Others,154.034,OUT049,Medium,Tier 1,Supermarket Type1,2450.144
Regular,0.231126825,Soft Drinks,183.6924,OUT049,Medium,Tier 1,Supermarket Type1,1295.6468
Low Fat,0.164154604,Breakfast,165.3526,OUT049,Medium,Tier 1,Supermarket Type1,1151.1682
Regular,0.209918052,Baking Goods,183.5634,OUT049,Medium,Tier 1,Supermarket Type1,4725.8484
Low Fat,0.103,Health and Hygiene,158.0604,OUT049,Medium,Tier 1,Supermarket Type1,3327.6684
Low Fat,0.118131684,Frozen Foods,83.025,OUT049,Medium,Tier 1,Supermarket Type1,1414.825
Low Fat,0.134151714,Fruits and Vegetables,158.7578,OUT049,Medium,Tier 1,Supermarket Type1,2085.9514
Regular,0.115477512,Meat,197.111,OUT049,Medium,Tier 1,Supermarket Type1,785.644
Low Fat,0.173356805,Hard Drinks,36.8532,OUT049,Medium,Tier 1,Supermarket Type1,755.0172
Low Fat,0.117577695,Soft Drinks,147.2102,OUT049,Medium,Tier 1,Supermarket Type1,1895.5326
Low Fat,0.201036903,Canned,51.5324,OUT049,Medium,Tier 1,Supermarket Type1,882.8508
Low Fat,0.151134591,Household,107.7622,OUT049,Medium,Tier 1,Supermarket Type1,529.311
Regular,0.14158813,Snack Foods,144.6102,OUT049,Medium,Tier 1,Supermarket Type1,3353.6346
Low Fat,0.122402371,Hard Drinks,38.7164,OUT049,Medium,Tier 1,Supermarket Type1,579.246
Regular,0.184794766,Breads,173.6054,OUT049,Medium,Tier 1,Supermarket Type1,700.4216
Low Fat,0.206146658,Fruits and Vegetables,117.2466,OUT049,Medium,Tier 1,Supermarket Type1,2239.0854
Low Fat,0.134097948,Fruits and Vegetables,103.899,OUT049,Medium,Tier 1,Supermarket Type1,1960.781
Low Fat,0.124639678,Health and Hygiene,150.1708,OUT049,Medium,Tier 1,Supermarket Type1,2708.4744
Low Fat,0.266233667,Hard Drinks,144.6444,OUT049,Medium,Tier 1,Supermarket Type1,2467.4548
Regular,0.103,Frozen Foods,155.263,OUT049,Medium,Tier 1,Supermarket Type1,625.852
Regular,0.145542484,Frozen Foods,161.921,OUT049,Medium,Tier 1,Supermarket Type1,2120.573
Regular,0.103,Frozen Foods,228.4668,OUT049,Medium,Tier 1,Supermarket Type1,3916.2356
Low Fat,0.158476238,Dairy,196.8768,OUT049,Medium,Tier 1,Supermarket Type1,1182.4608
Low Fat,0.243821917,Hard Drinks,252.9382,OUT049,Medium,Tier 1,Supermarket Type1,2775.7202
Low Fat,0.196170838,Household,127.3652,OUT049,Medium,Tier 1,Supermarket Type1,1549.9824
Regular,0.168165046,Dairy,79.3986,OUT049,Medium,Tier 1,Supermarket Type1,856.8846
Regular,0.152051717,Fruits and Vegetables,152.4682,OUT049,Medium,Tier 1,Supermarket Type1,2439.4912
Low Fat,0.15710964,Seafood,195.0768,OUT049,Medium,Tier 1,Supermarket Type1,1970.768
Regular,0.151761223,Starchy Foods,186.5898,OUT049,Medium,Tier 1,Supermarket Type1,5238.5144
Low Fat,0.242669224,Frozen Foods,147.6392,OUT049,Medium,Tier 1,Supermarket Type1,1938.8096
Low Fat,0.127926013,Household,149.9392,OUT049,Medium,Tier 1,Supermarket Type1,1491.392
Low Fat,0.240410256,Hard Drinks,161.7578,OUT049,Medium,Tier 1,Supermarket Type1,1604.578
Regular,0.137753686,Canned,141.5496,OUT049,Medium,Tier 1,Supermarket Type1,1976.0944
Low Fat,0.138247642,Health and Hygiene,84.7224,OUT049,Medium,Tier 1,Supermarket Type1,1619.2256
Regular,0.161918844,Fruits and Vegetables,169.7448,OUT049,Medium,Tier 1,Supermarket Type1,3238.4512
Low Fat,0.139016619,Snack Foods,186.3924,OUT049,Medium,Tier 1,Supermarket Type1,1295.6468
Regular,0.23253868,Seafood,240.288,OUT049,Medium,Tier 1,Supermarket Type1,2396.88
Low Fat,0.159884225,Dairy,231.9642,OUT049,Medium,Tier 1,Supermarket Type1,3020.7346
Low Fat,0.251163564,Household,232.7616,OUT049,Medium,Tier 1,Supermarket Type1,1874.8928
